;Studies that used open IoT platforms ;;;;;;;;;;;;;;;;;;;;;;;;
;Authors;Title;Year;Publisher;;;;;;;;;;;;;;;;;;;;;
33;CH Lee, YH Lai;Design and implementation of a universal smart energy management gateway based on the Internet of Things platform;2016;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
34;A De Silva, WHP Sampath, NHL Sameera…;Development of a novel telecare system, integrated with plantar pressure measurement system;2018;Elsevier;;;;;;;;;;;;;;;;;;;;;
35;CT Lee, YH Liang, PH Chou, AH Gorji…;EcoMicro: A Miniature Self-Powered Inertial Sensor Node Based on Bluetooth Low Energy;2018;dl.acm.org;;;;;;;;;;;;;;;;;;;;;
36;G Kaur, PS Pandey;Emotion Recognition System using IOT and Machine Learning-A Healthcare Application;2018;dl.acm.org;;;;;;;;;;;;;;;;;;;;;
37;L Skorin-Kapov, K Pripužić…;Energy efficient and quality-driven continuous sensor management for mobile IoT applications;2014;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
38;Y Uehara, S Ohtake;Factory Environment Monitoring: A Japanese Tea Manufacturer's Case;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
39;V Tanyingyong, R Olsson, M Hidell…;Implementation and Deployment of an Outdoor IoT-Based Air Quality Monitoring Testbed;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
40;RG Baldovino, IC Valenzuela…;Implementation of a Low-power Wireless Sensor Network for Smart Farm Applications;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
41;T Malche, P Maheshwary;Internet of things (IoT) for building smart home system;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
42;O Chieochan, A Saokaew…;IOT for smart farm: A case study of the Lingzhi mushroom farm at Maejo University;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
43;G Kalra, HM Nguyen, W Yoon, D Lee…;Location Digest: A placeness service to discover community experience using social media;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
44;CS Choi, JD Jeong, IW Lee…;LoRa based renewable energy monitoring system with open IoT platform;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
45;R Kiruthika, A Umamakeswari;Low cost pollution control and air quality monitoring system using Raspberry Pi for Internet of Things;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
46;PH Vilela, JJPC Rodrigues, P Solic, K Saleem…;Performance evaluation of a Fog-assisted IoT solution for e-Health applications;2019;Elsevier;;;;;;;;;;;;;;;;;;;;;
47;PP Jayaraman, X Yang, A Yavari…;Privacy preserving Internet of Things: From privacy techniques to a blueprint architecture and efficient implementation;2017;Elsevier;;;;;;;;;;;;;;;;;;;;;
48;I Zolotová, P Papcun, E Kajáti, M Miškuf…;Smart and cognitive solutions for Operator 4.0: Laboratory H-CPPS case studies;2018;Elsevier;;;;;;;;;;;;;;;;;;;;;
49;P Sotres, CL de la Torre, L Sánchez…;Smart City Services Over a Global Interoperable Internet-of-Things System: The Smart Parking Case;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
50;HS Kim, ST Oh, JH Lim;Development of local area alert system against particulate matters and ultraviolet rays based on open IoT platform with P2P;2018;Springer;;;;;;;;;;;;;;;;;;;;;
51;Y Goyal, S Buragohain, K Srihari, AK Singh;Fleet Tracking Using Internet of Things;2019;Springer;;;;;;;;;;;;;;;;;;;;;
52;D Awasthi, S Azeemuddin, S Purini…;Flow Sensor IoT Node for Wi-Fi Equipped Apartments and Gated Communities;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
53;ABL Neto, JPB Andrade, TCJ Loureiro…;Fuzzy Logic Applied to eHealth Supported by a Multi-Agent System;2018;Springer;;;;;;;;;;;;;;;;;;;;;
54;R Paul, BP Joshi;Hand Gesture-Based Control of Electronic Appliances Using Internet of Things;2017;Springer;;;;;;;;;;;;;;;;;;;;;
55;D Ibaseta, J Molleda, F Díez, JC Granda;Indoor Air Quality Monitoring Sensor for the Web of Things;2018;mdpi.com;;;;;;;;;;;;;;;;;;;;;
56;P Jayaraman, A Yavari, D Georgakopoulos, A Morshed…;Internet of things platform for smart farming: Experiences and lessons learnt;2016;mdpi.com;;;;;;;;;;;;;;;;;;;;;
57;SPL Narayan, E Kavinkartik, E Prabhu;IoT Based Food Inventory Tracking System;2018;Springer;;;;;;;;;;;;;;;;;;;;;
58;D Singh, A Nandgaonkar;IOT-Based Wi-Fi Surveillance Robot with Real-Time Audio and Video Streaming;2019;Springer;;;;;;;;;;;;;;;;;;;;;
59;G Rocher, JY Tigli, S Lavirotte;Probabilistic Models Toward Controlling Smart-* Environments;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
60;GNLR Teja, S Sukumar, S Kompella, R Sudha…;Real-Time System Monitoring and Control of Automation Industry Using IoT-Based Cloud Platform;2018;Springer;;;;;;;;;;;;;;;;;;;;;
61;S Nastic, J Cubo, M Donato, S Dustdar…;SMART-FI: Exploiting Open IoT Data from Smart Cities in the Future Internet Society;2018;Springer;;;;;;;;;;;;;;;;;;;;;
62;BSS Tejesh, S Neeraja;Warehouse inventory management system using IoT and open source framework;2018;Elsevier;;;;;;;;;;;;;;;;;;;;;
63;T Kanter, R Rahmani, Y Li, B Xiao;Vehicular network enabling large-scale and real-time immersive participation;2014;Springer;;;;;;;;;;;;;;;;;;;;;
64;SL Kumar, M Swathy, M Vidya, K Poojaa…;Wireless Bio signal Acquisition Electrode module for EMG;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
65;P Plaza, E Sancristobal, G Carro, M Castro…;Wireless development boards to connect the world;2018;Springer;;;;;;;;;;;;;;;;;;;;;
66;C Um, J Lee, J Jeong;Industrial Device Monitoring and Control System based on oneM2M for Edge Computing;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
67;SM Fati, A Muneer, D Mungur…;Integrated Health Monitoring System using GSM and IoT;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
68;E Al-Masri;Integrating Hardware Prototyping Platforms into the Classroom;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
69;S Lee, G Lee, G Choi, B Roh…;Integration of OneM2M-based IoT Service Platform and Mixed Reality Device;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
70;A López-Vargas, M Fuentes, M Vivar;IoT Application for Real-Time Monitoring of Solar Home Systems Based on Arduino™ With 3G Connectivity;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
71;RKM Math, NV Dharwadkar;IoT Based Low-cost Weather Station and Monitoring System for Precision Agriculture in India;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
72;RK Kodali, S Sahu;IoT based Safety System for Coal Mines;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
73;BK Barman, SN Yadav, S Kumar…;IOT Based Smart Energy Meter for Efficient Energy Utilization in Smart Grid;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
74;R Narayanamoorthi, AV Juliet;IoT-Enabled Home Cage With Three-Dimensional Resonant Wireless Power and Data Transfer Scheme for Freely Moving Animal;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
75;D Kim, S Park, S Lee, B Roh;IoT Platform Based Smart Parking Navigation System with Shortest Route and Anti-Collision;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
76;M Santiputri, M Tio;IoT-based Gas Leak Detection Device;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
77;KS Murthy, P Herur, BR Adithya…;IoT-Based Light Intensity Controller;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
78;M Saravanan, AM Marks;MEDIBOX—IoT enabled patient assisting device;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
79;RK Kodali, S Yadavilli;Mongoose RTOS based IoT Implementation of Surveillance System;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
80;RK Kodali, A Valdas;MQTT based environment monitoring in factories for employee safety;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
81;RK Kodali, S Sahu;MQTT based vehicle accident detection and alert system;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
82;RK Kodali, A Valdas;MQTT Implementation of IoT based Fire Alarm Network;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
83;JK Ahuluwalia, U Khanna;New technique for increasing security management using Internet of Things (IOT) application;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
84;HM Nguyen, J Byun, K Kwon, J Han…;Oliot-OpenCity: Open Standard Interoperable Smart City Platform;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
85;AÓ LÓpez-Vargas, M Fuentes…;On the application of IoT for real-time monitoring of small stand-alone PV systems: Results from a new smart datalogger;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
86;YH Hsu, FJ Lin;Preventing misuse of duplicate certificates in IoT/M2M systems;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
87;Y Yamato, T Demizu, H Noguchi…;Proposal of Automatic GPU Offloading Technology on Open IoT Environment;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
88;R Bhattacharya, N Bandyopadhyay…;Real time Android app based respiration rate monitor;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
89;AH bin Alaudin, MMM Zan, AR Mahmud…;Real-Time Residential Energy Monitoring Device using Internet of Things;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
90;M Uddin, S Mukherjee, H Chang…;SDN-based Multi-Protocol Edge Switching for IoT Service Automation;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
91;T Narendrakumar, AS Pillai;Smart connected campus;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
92;E Ariawan, AS Makalew;Smart Micro Farm: Sustainable Algae Spirulina Growth Monitoring System;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
93;O Rudrawar, S Daga, JR Chadha…;Smart street lighting system with light intensity control using power electronics;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
94;HM Ahmed, BA Elsayed, G Ibrahim…;Solar still with two layouts integrated built-in condenser and real time monitoring system;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
95;SS Chaudhari, VY Bhole;Solid Waste Collection as a Service using IoT-Solution for Smart Cities;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
96;GK Endo, I Oluwayomi, V Alexandra…;Technology for continuous long-term monitoring of pregnant women for safe childbirth;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
97;DN Robu, VP Fernoaga, GA Stelea…;Tele-measurement with virtual instrumentation using web-services;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
98;MR Ma'arif, A Priyanto, CB Setiawan…;The Design of Cost Efficient Health Monitoring System based on Internet of Things and Big Data;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
99;S Mehrotra, A Kobsa…;TIPPERS: A privacy cognizant IoT environment;2016;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
100;A Kazmi, E Tragos, M Serrano;Underpinning IoT for Road Traffic Noise Management in Smart Cities;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
101;C Um, J Lee, J Jeong;Virtualized oneM2M System Architecture in Smart Factory Environments;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
102;J Prabaharan, A Swamy, A Sharma…;Wireless home automation and security system using MQTT protocol;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
103;P Rajendhar, PP Kumar…;Zigbee based wireless system for remote supervision and control of a substation;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
104;PP Jayaraman, C Perera…;Analytics‐as‐a‐service in a multi‐cloud environment through semantically‐enabled hierarchical data processing;2017;Wiley Online Library;;;;;;;;;;;;;;;;;;;;;
105;D Georgakopoulos, PP Jayaraman;Internet of things: from internet scale sensing to smart services;2016;Springer;;;;;;;;;;;;;;;;;;;;;
106;EAAD Nagahage, ISP Nagahage, T Fujino;Calibration and Validation of a Low-Cost Capacitive Moisture Sensor to Integrate the Automated Soil Moisture Monitoring System;2019;mdpi.com;;;;;;;;;;;;;;;;;;;;;
107;YY Chen, YH Lin, CC Kung, MH Chung, I Yen;Design and Implementation of Cloud Analytics-Assisted Smart Power Meters Considering Advanced Artificial Intelligence as Edge Analytics in Demand-Side …;2019;mdpi.com;;;;;;;;;;;;;;;;;;;;;
108;I Sarkar, B Pal, A Datta, S Roy;Wi-Fi-Based Portable Weather Station for Monitoring Temperature, Relative Humidity, Pressure, Precipitation, Wind;2019;Springer;;;;;;;;;;;;;;;;;;;;;
109;M Kim, J Lee, J Jeong;Open Source Based Industrial IoT Platforms for Smart Factory: Concept, Comparison and Challenges;2019;Springer;;;;;;;;;;;;;;;;;;;;;
110;R Venkataswamy, R Paul, J Jogy;Internet of Things Based Autonomous Borewell Management System;2019;Springer;;;;;;;;;;;;;;;;;;;;;
111;AR Shreyas, S Sharma, H Shivani…;IoT-Enabled Medicine Bottle;2019;Springer;;;;;;;;;;;;;;;;;;;;;
112;Y Yamato;Study of parallel processing area extraction and data transfer number reduction for automatic GPU offloading of IoT applications;2019;Springer;;;;;;;;;;;;;;;;;;;;;
113;E Badidi;A Fog Node Architecture for Real-Time Processing of Urban IoT Data Streams;2019;Springer;;;;;;;;;;;;;;;;;;;;;
114;T Malche, P Maheshwary, R Kumar;Environmental Monitoring System for Smart City Based on Secure Internet of Things (IoT) Architecture;2019;Springer;;;;;;;;;;;;;;;;;;;;;
115;U Drakulić, E Mujčić;Remote Monitoring and Control System for Greenhouse Based on IoT;2019;Springer;;;;;;;;;;;;;;;;;;;;;
116;KE Lakshmiprabha…;Hydroponic‐based smart irrigation system using Internet of Things;2019;Wiley Online Library;;;;;;;;;;;;;;;;;;;;;
117;S Sayed, T Hussain, A Gastli…;Design and realization of an open‐source and modular smart meter;2019;Wiley Online Library;;;;;;;;;;;;;;;;;;;;;
118;YH Lin;A cloud analytics-based electrical energy management architecture empowered by edge analytics AIduino with push notifications for demand-side management;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
119;W Wongthai, S Khruahong, P Srithong…;The Development of an Internet of Things Mobile Application for Tracking an Electric Bus in a Campus;;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
120;A Karthika, R Srinidhi, K Vasanth;Automation Of Energy Meter And Building A Network Using Iot;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
121;F Al Rafi, A Kowanda, NS Salahuddin…;Design of Orchid Monitoring System Based on IoT;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
122;N Asthana, R Bahl;IoT Device For Sewage Gas Monitoring And Alert System;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
123;S Rachamalla, P Sindhu…;Cloud Based Home Automation: Surveillance with Mobile Phones;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
124;M Gokhale, R Wagh, P Chaudhari…;IOT Based E-Tracking System for Waste Management;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
125;I Mahmood, JA Zubairi;Efficient Waste Transportation and Recycling: Enabling technologies for smart cities using the Internet of Things;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
126;D Sarabia-Jácome, I Lacalle, CE Palau…;Enabling Industrial Data Space Architecture for Seaport Scenario;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
127;AS Patade, HP Gandhi…;IOT Solutions for Hospitals;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
128;B Tallapragada, V Ganugapati;IoT Based Intelligent Micro Irrigation Grid with A Farmer Alert System;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
129;O Väänänen, J Hautamäki…;Predictive pumping based on sensor data and weather forecast;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
130;K Vorawitsurawathana, SS Chuang…;Home Automation with Voice and Mirror Control;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
131;H Salman, MS Rahman, MAY Tarek…;The Design and Implementation of GPS Controlled Environment Monitoring Robotic System based on IoT and ARM;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
132;R Narayanamoorthi;Modeling of Capacitive Resonant Wireless Power and Data Transfer to Deep Biomedical Implants;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
133;A Berouine, E Akssas, Y Naitmalek…;A Fuzzy Logic-Based Approach for HVAC Systems Control;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
134;M Forcan, M Maksimović;Cloud-Fog-based approach for Smart Grid monitoring;2019;Elsevier;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
